age,monthly_salary,monthly_expenses,current_savings,dependents,risk_tolerance,expected_return,inflation_rate,retirement_goal_age,goal_type,target_corpus,risk_label
52,213884,21497,2185534,5,Medium,13.767735887460516,5.895909394496446,60,Aggressive,10198412.762942018,Medium
49,223419,54474,2928230,5,High,11.150172018091002,4.339873072097333,65,Aggressive,32248935.703010928,Medium
46,149546,71472,4314289,5,Low,10.869757670459904,4.3926881615725195,55,Aggressive,31570969.525950998,Low
41,172242,65967,238299,5,High,7.702146197405383,6.7450929429634146,59,Aggressive,64078235.36355571,High
50,139926,73607,3624516,3,High,13.842720142457729,4.806937346205377,55,Luxury,27924829.083454173,Low
53,183119,49387,2549854,4,Low,8.95262660858417,4.170602163658309,65,Aggressive,24192235.20245305,Medium
45,109166,13091,3105603,4,Medium,6.6268707415425085,7.41016477267002,59,Luxury,10683890.714572515,Low
60,140580,86551,4419066,1,Medium,9.891762811810796,7.521429901729514,67,Aggressive,43137856.76021174,Low
52,212714,94702,3224664,5,High,7.364496533228886,4.0053762600375045,64,Aggressive,45514510.83073327,Medium
27,168804,108729,2795244,2,Low,13.115851038469884,4.387007627839717,51,Luxury,91407410.46897341,Medium
51,95692,59647,843906,5,Medium,10.122197670831364,7.568524676646882,58,Aggressive,29819911.18778507,Medium
34,162441,45129,1213862,5,Low,10.637311678088055,5.31157716233002,64,Luxury,63952933.65398358,Medium
46,276614,25423,4678886,4,Low,12.698518629608316,5.06219843914678,63,Luxury,17657868.73463911,Medium
56,71048,40697,4842316,3,Medium,10.041017888811535,4.208547389459343,64,Luxury,16978932.73360359,Low
27,177230,62433,2301834,5,Low,8.922889593580098,6.458131280639366,63,Aggressive,178227060.46662068,Medium
34,207494,90853,4117435,0,Low,10.650345166851107,5.329461586080917,69,Luxury,167766704.74219432,Medium
51,237074,95944,1020572,4,Medium,13.053877405340259,6.34023263220114,68,Aggressive,81846173.1840149,High
28,27401,11698,3906239,0,Low,7.784835639000605,7.1116275726602645,52,Aggressive,18252052.7829494,Low
26,93209,38251,3474873,2,High,12.677066147011239,7.0535412328006135,55,Aggressive,82831237.19059713,Low
35,132097,93121,4571384,0,Medium,13.759909851677158,7.5840048081061475,62,Normal,201074487.43294087,Low
23,153020,111003,1855467,0,High,13.251081942850742,6.10879681554379,66,Luxury,426349484.5436913,Medium
26,86715,17643,948774,2,Medium,6.592775829588338,4.303181486669628,53,Normal,16509263.158361493,Medium
34,299072,172113,4391183,0,High,7.480954483041093,4.843631047497084,46,Luxury,91083470.6601735,Medium
22,176155,51912,503104,1,Medium,9.243239641604875,5.2211605384451865,56,Aggressive,87880798.10998939,High
51,225605,53885,4796958,4,High,11.227658027412335,6.458104287089142,69,Luxury,49866197.475800775,Medium
26,95112,42068,4043108,5,High,10.289506771371801,6.561262767863471,64,Normal,141204564.5782347,Low
25,159328,36393,262789,2,Low,10.176769902166548,6.779810986519644,52,Normal,64172077.87980037,High
47,294504,234499,1193289,3,High,7.547020033543059,4.992136512853074,53,Luxury,94232972.34449294,High
50,204939,112369,2778590,3,High,13.944541961907383,5.612873200357978,68,Luxury,90088884.74766746,Medium
49,244465,121202,1100709,0,High,10.473237605559543,5.2749805162961465,69,Normal,101656332.0223964,High
52,168242,57247,3539016,1,Low,9.89949499392673,6.481418220053387,69,Aggressive,49949258.304455325,Medium
46,117895,45014,2552640,1,Medium,13.709426115984861,6.9641446803011515,65,Luxury,48528301.78526336,Medium
56,218173,119650,4552194,1,Low,9.072687886115144,7.5532999260705775,66,Normal,74348353.67342159,Medium
53,131438,91649,3284927,5,High,9.196207880491109,6.445093013499196,61,Normal,45316269.588756196,Low
44,266179,159606,4054766,1,High,7.853734556571859,5.366712484308026,65,Normal,143529938.12360162,Medium
36,51922,15531,4562144,3,High,12.117032150808267,6.146510165355071,64,Aggressive,24756020.876821622,Low
26,193797,147411,830189,2,Medium,12.035341253446067,7.316718746411846,54,Aggressive,319402227.1969061,High
55,200600,52881,3919487,3,Medium,6.685554446456967,7.01200340054717,68,Aggressive,38286295.30515551,Medium
40,289429,94694,1980084,5,Medium,7.7927714935036665,7.447907064703005,47,Luxury,46970960.38878893,Medium
42,148502,11725,2329229,0,Medium,12.630774264300815,7.379401016989639,52,Luxury,7168757.286328018,Medium
22,235234,115787,1524839,3,Low,13.526137085974874,5.562981689689722,68,Luxury,419099259.3433525,Medium
29,237763,10102,3344357,5,Low,13.132075550113385,4.6722206902188494,67,Normal,17183960.55256649,Medium
55,282651,175351,2877168,3,Medium,11.263725805845969,4.221656587083611,68,Luxury,90049879.6517416,Medium
39,96486,51756,2532005,0,Medium,8.811543218417913,7.769930089566814,67,Aggressive,126187050.8765347,Low
48,144045,11733,3147827,0,Medium,10.734004945041102,4.370149905289287,55,Luxury,4748587.840106595,Medium
55,216092,44335,4394311,0,Medium,6.532288415147296,6.777005739359076,60,Normal,18461061.035377268,Medium
60,33165,21741,4207596,0,Medium,8.654940532535186,5.498184320413349,68,Normal,10008307.787559958,Low
38,134410,89358,1082410,5,High,7.771274971270428,7.722437357459064,56,Normal,102274126.34389798,Medium
42,157779,99593,4812174,0,Low,11.477326816955195,6.841745452245757,47,Normal,41596322.9446424,Low
41,45858,20403,4694050,1,High,13.048433675679764,5.299109262072508,51,Normal,10257989.703360878,Low
49,199241,152279,117459,4,High,8.838363266921924,7.561471974245726,68,Luxury,182490084.33576366,High
29,143837,94698,4994726,2,Low,9.806785978739846,4.184421598390203,47,Normal,59417201.28942803,Low
55,247411,79317,3786260,3,Medium,8.682060735875314,5.926132709466124,64,Aggressive,39949889.76461484,Medium
29,94069,19856,4314455,5,Low,6.935222058214357,5.288962794216548,58,Luxury,26553122.25734239,Low
47,112111,11704,1867140,3,High,11.308175819231296,4.862767176491662,65,Aggressive,8253520.201185008,Medium
50,25348,14773,4388280,2,Low,12.374584117596763,5.177343865039916,65,Normal,9449806.974748509,Low
35,66052,39940,2984963,0,Medium,12.571369319397052,6.145848833678281,57,Aggressive,44503650.03348569,Low
42,187258,90083,4659484,4,Medium,10.741751645254482,4.238757809697154,58,Normal,52508756.44715124,Low
47,63428,35487,3239008,3,Medium,9.218224770733965,7.912331004759596,59,Aggressive,26548710.19546285,Low
25,129164,25098,2726559,2,Medium,6.845290833575837,7.372900488072395,48,Luxury,38666790.360398665,Medium
57,37092,24552,2485904,1,High,8.69619609117651,4.546943365785101,69,Luxury,12558686.195580037,Low
50,41950,11611,105686,0,Medium,10.842432644175606,6.643343630841866,58,Aggressive,5827213.1689989455,High
48,178865,38806,2780971,3,High,13.554500445599768,4.752811598520869,54,Luxury,15382051.619431756,Medium
28,208744,93576,216836,5,Medium,7.972036437462928,4.49467490006916,51,Normal,77170513.85450797,High
38,219136,49973,4047221,2,Low,13.45482051540925,4.497736109180734,63,Aggressive,45032776.17671711,Medium
50,164146,88443,1687801,1,Medium,7.1330881789764105,7.997037307859715,58,Normal,49099769.47564248,Medium
59,228196,145749,859105,2,Medium,13.595090942381168,5.528959123524032,68,Luxury,70969497.33476663,High
21,272077,215588,1739332,1,Medium,7.374189233440569,6.27342399052054,58,Normal,614410666.7590201,Medium
35,192729,80781,766019,0,Low,13.159733876812105,6.484073956148719,53,Luxury,75085198.05985662,High
50,71628,47013,4860116,4,Low,9.616369700743725,7.125189111100002,68,Luxury,48684201.237727605,Low
50,120847,54861,4802848,4,Medium,9.67119088892029,6.177980985246769,68,Normal,48417828.17620946,Low
36,30420,13581,1266222,3,High,11.462729789171586,5.7316096521696105,50,Aggressive,8890390.125816423,Low
52,279217,200577,3340903,0,Low,9.100591947580682,4.606966834626306,58,Aggressive,78843526.91420054,Medium
26,158088,55846,4339108,4,Low,9.734524714397054,6.91742053279244,67,Normal,260076253.14730877,Low
40,140947,37861,2098351,4,High,12.26656795816871,6.034164540090741,68,Normal,58586325.911985934,Medium
56,221489,168425,1341371,3,Medium,7.60662453688237,4.952346469470109,62,Aggressive,67527508.65865336,Medium
34,135616,98178,2057131,2,High,11.567057501860242,6.730381543997019,52,Aggressive,95130668.97923271,Medium
30,107277,18927,3402175,2,Medium,11.949503367204983,6.44340355147563,63,Normal,44578133.250720054,Low
37,189049,111673,4429184,3,High,6.55006386598222,6.112106543102611,56,Aggressive,103419688.85762352,Medium
29,186561,132542,993769,5,High,7.000342606543565,7.1055686611646784,49,Normal,156933550.9909248,High
45,57985,11220,3445945,0,High,8.702655101623419,6.984903647890063,57,Luxury,7568052.048530539,Low
54,266516,211189,4949553,5,Medium,10.606064261355447,7.8158509633122035,59,Aggressive,92300833.66425878,Medium
40,64534,29607,3559146,0,High,12.68679577212471,5.235914672460902,51,Normal,15571105.240669226,Low
26,151924,115395,3401884,0,High,10.15871671933272,7.6536502011504455,66,Normal,661391555.5906999,Medium
48,289815,170026,257947,4,High,8.639331366620109,5.415542075248624,54,Luxury,69994589.47256002,High
47,171999,107056,3388752,2,High,9.125782570908932,7.933557840291318,59,Luxury,80280521.29455641,Medium
26,247312,141290,280477,3,Medium,6.2688536978208145,7.608215404215622,49,Normal,228916737.38950783,High
45,250282,157522,1206822,4,Medium,12.562658453109032,7.040479992041209,50,Aggressive,66405295.166517064,High
50,288578,183325,3207146,3,Low,6.247248167406252,4.639061411739483,61,Normal,90568075.33313592,Medium
30,258107,61515,2454820,3,Low,11.506902360744958,4.8567108374736305,48,Luxury,43334564.19563859,Medium
49,207357,138896,971232,5,High,12.491863371932851,4.604503987772754,64,Aggressive,81859061.42668653,High
49,144976,27545,4084888,2,Medium,13.527879112629059,5.231982164845048,63,Aggressive,16874563.3659462,Low
29,62720,31966,95906,1,Medium,8.46560075048533,7.661552450805384,62,Aggressive,109600012.0002573,High
56,69183,16113,4070366,5,High,6.181875086685316,6.8855334665756205,62,Luxury,7207941.225792421,Low
42,241119,146064,3252751,4,Medium,7.687329489405709,5.04160528654654,63,Aggressive,123098510.62676497,Medium
23,86866,54683,2751699,3,Medium,12.747252159365166,6.295930872620809,60,Aggressive,157068556.02872565,Low
50,135787,12318,4007580,1,Low,11.974559005650352,4.290059819765858,57,Luxury,4958631.905010925,Low
31,233624,182491,1951369,1,Medium,13.14133936085548,6.166132513977566,57,Normal,259417114.88260296,Medium
47,232167,115811,2783610,4,Medium,9.978609730327939,6.4646816638100315,69,Aggressive,137845750.8663976,Medium
26,205428,39777,4869553,4,Medium,6.964152111087937,4.180611984497519,66,Aggressive,61408635.9499525,Medium
56,166774,11566,3484800,1,Low,7.215403262563632,5.7772281317120635,61,Aggressive,4594786.68529826,Medium
38,140493,83461,4556902,5,High,13.879636780214113,4.093106972172961,46,Luxury,34512833.09074724,Low
45,277578,108541,191320,4,High,12.604727673214288,5.724184261928174,64,Aggressive,93762156.84040788,High
50,94340,50017,1323709,5,Low,10.425342355279241,4.266092362851191,56,Luxury,19279576.03665362,Medium
34,222725,88163,1187790,0,Low,9.022710839047772,5.280011147674685,47,Aggressive,51630294.69557015,High
35,224337,11458,2827243,0,Low,11.574728447466143,5.1417168480941005,64,Luxury,14713193.175158491,Medium
47,94527,46831,4244774,4,Medium,10.575078656411849,7.2176390746835,58,Normal,30240107.082518395,Low
44,152092,90547,4574727,0,Low,7.758521508998887,6.697474359589619,52,Aggressive,45627685.07130268,Low
40,248663,135414,3624529,3,Medium,8.696362896282386,7.552584251034391,58,Normal,150646873.0010778,Medium
35,118975,29169,3986568,5,Medium,12.686567511292584,7.832435180138378,53,Normal,34004173.94291203,Low
21,171717,39717,3652420,3,Low,6.407537820774341,5.963276647076763,69,Luxury,192112621.26306906,Medium
52,150077,16445,1977900,5,High,11.845257956510238,4.694247067200249,57,Luxury,6205392.009638221,Medium
58,286928,181274,3011706,0,Medium,7.981969209462251,6.171053445323333,69,Normal,105080992.09046909,Medium
41,298678,138413,770937,1,Low,12.732279342346718,6.9390341601047325,65,Aggressive,207763050.5616635,High
45,155250,25932,4171899,0,High,8.143592736097286,4.79535616848592,66,Aggressive,20803675.284900427,Low
25,95214,42050,3422714,1,Medium,13.529479165412873,4.45377066419819,56,Luxury,48700681.80242869,Low
45,187221,88494,1589098,1,Medium,12.055691781007825,4.317890197571014,66,Luxury,64501494.20386904,Medium
21,105428,46631,2227130,3,Low,9.275107248593475,4.417674737252635,46,Luxury,41223648.574168585,Medium
30,98589,17140,2645514,5,Low,8.119760550609858,4.373604747477142,45,Normal,9772199.316819036,Low
39,207499,146588,3918083,0,Medium,9.158437646125982,7.105156901405518,46,Aggressive,71103723.8962166,Medium
54,169512,126696,3798613,2,Medium,8.618914286192798,6.114478267278669,62,Normal,61105640.87819207,Medium
41,299612,15930,1492567,2,Low,7.130471877991047,4.351152675830901,58,Luxury,9858033.56225491,High
49,43696,23693,3862716,5,Medium,10.536861963431718,5.586061813404745,59,Aggressive,12240727.397643493,Low
29,174640,19468,4361621,0,Medium,12.701675983135987,5.2850127541196645,58,Aggressive,26005946.24712635,Low
49,155840,62531,2675819,1,Medium,7.899856530003817,5.1540072612509995,62,Aggressive,36053911.48278515,Medium
58,240551,28933,1252717,2,Medium,8.120388655149373,6.60482836960537,70,Luxury,18699811.35367719,High
23,190819,118411,2748645,5,Low,13.104157919374526,6.838649538796778,54,Aggressive,276117153.6925187,Medium
50,150989,18808,4758390,5,Low,12.485891597292738,7.08060003461129,55,Normal,7943608.8586934535,Low
21,218103,165580,3219220,3,High,6.9568086456759906,4.735333097562841,64,Normal,363193040.8513523,Medium
58,70479,36093,3523440,4,High,13.383927504864186,7.630003297240519,68,Aggressive,22587999.634383883,Low
